event_id,total_running_time,heart_rate_stop,avg_hr,avg_speed,avg_temp
575,399,161,154.5339196,11.58307688,8
374,400,151,124.0124429,11.67059848,22
340,401,161,151.2438725,13.55095486,16
367,401,144,145.1557377,12.23394552,28
611,401,138,139.5548545,11.06759033,31
244,403,164,150.1240135,13.03189448,0
357,403,159,152.4189935,13.0507545,26
422,403,129,131.2356091,12.29049542,22
425,405,140,126.7937086,11.74841523,25
183,406,150,152.5792896,12.98946996,9
243,406,159,151.7248996,13.3635759,-6
372,406,134,140.7526602,12.38829208,34
659,408,121,136.5868893,11.06816327,23
173,409,163,163.5308057,14.91091343,16
376,410,160,129.845187,12.0217684,21
446,410,156,134.9049787,12.17770945,8
165,411,139,147.4274648,13.69418213,19
243,411,163,151.7248996,13.3635759,-6
334,411,146,144.7770545,12.89844293,20
142,412,169,163.4546314,16.73681813,21
370,412,132,137.6782462,12.72839071,24
689,413,154,144.0797571,11.52142543,19
408,414,161,146.8439292,11.44689004,18
443,415,161,133.1828645,11.33681893,11
497,416,151,162.7599289,14.98121181,1
671,416,137,132.0570583,11.17135841,22
360,417,159,136.7178453,12.37743243,22
163,418,154,161.2394708,14.59632149,21
238,418,122,152.7323232,13.88891943,
394,418,125,131.0369108,12.39664191,25
281,422,152,126.4245283,10.94288724,11
499,422,155,144.4975978,12.4185558,-2
319,423,162,139.4069952,12.14284781,17
395,423,151,139.4363434,12.67752791,22
691,423,155,154.3849733,13.05931359,21
478,424,164,134.6162162,11.13113201,1
3,425,138,156.4921384,13.42871132,
388,425,111,113.0173954,10.33265501,24
719,425,168,155.1047516,12.92465054,11
168,426,156,151.2732278,13.54063317,25
290,426,167,154.6904594,11.93482177,9
326,426,162,152.5339151,12.86466709,19
593,426,136,139.5662898,11.85406865,19
715,427,148,145.5974106,12.3509053,3
155,428,149,158.3825257,14.49656564,24
232,430,148,144.615493,11.02947718,-25
502,430,171,146.8860927,12.50144424,-1
813,430,167,150.6745016,13.36424528,11
351,431,162,162.3053333,12.159984,22
86,432,165,156.4048641,13.65217854,4
310,432,131,131.5135422,11.3657009,21
271,434,166,164.1253223,12.39227317,
457,434,163,137.3216208,11.62555442,5
506,434,164,147.2384519,11.76096629,2
239,435,89,143.7649805,13.2274198,
258,435,147,142.3249391,12.95713501,0
445,435,163,136.8441128,12.01349353,13
513,435,162,149.0662177,13.03614686,4
598,436,176,154.2317808,11.91046388,21
748,436,158,150.2074468,12.52447755,6
148,437,145,149.2040956,13.4606015,24
317,437,138,135.8016194,12.00831255,16
326,437,161,152.5339151,12.86466709,19
333,438,152,151.2302826,13.80920219,19
282,440,145,146.4289793,13.58297239,14
478,440,138,134.6162162,11.13113201,1
228,442,167,160.7869885,13.43828248,-13
243,442,150,151.7248996,13.3635759,-6
588,445,152,143.8118514,12.50280721,16
682,445,147,144.9135063,11.54548503,18
483,447,144,142.6484065,12.67416286,9
365,448,100,138.9651639,13.26010082,25
667,448,150,148.4574326,12.18129512,27
17,449,164,135.2583047,10.10541781,17
480,451,150,147.7496439,11.60891923,8
237,453,145,138.6553641,12.05199956,2
175,454,142,148.86,13.49623862,17
396,454,139,142.1334702,14.70209877,25
753,454,158,141.4077817,11.09317262,-1
239,457,155,143.7649805,13.2274198,
239,457,149,143.7649805,13.2274198,
623,457,135,139.0111871,11.44366613,30
134,458,152,152.8026735,12.44712914,32
580,459,164,140.3149171,11.58190856,8
276,460,140,144.846901,12.84752081,9
454,460,162,144.9427046,11.92273943,3
60,461,137,148.1702606,13.32267493,3
127,461,154,160.5408163,14.31782449,20
434,461,162,168.8210526,12.79868211,7
626,461,138,154.7532391,12.24782259,30
151,464,142,158.156172,12.77093859,30
214,464,159,157.4463547,14.27044563,12
238,464,159,152.7323232,13.88891943,
209,465,158,154.1025595,12.07064157,0
292,465,148,145.2756233,13.42369343,24
587,466,162,147.4953429,12.59395687,17
74,467,149,159.8856224,14.2933593,11
152,467,154,158.2961918,14.13959281,24
298,468,157,147.4982771,13.43258746,8
316,470,157,138.1152882,13.69386767,23
256,471,163,140.150771,12.70206,-4
283,471,165,156.2475655,15.77736404,4
484,471,153,135.808958,11.43509726,5
835,472,139,154.8328321,12.8137994,20
572,473,161,139.7391823,11.65189091,10
22,475,150,159.7882987,14.71919353,13
493,475,154,145.5803903,11.84704294,3
513,475,135,149.0662177,13.03614686,4
566,475,161,147.3796664,12.86458501,16
144,476,151,154.9451567,13.99220513,24
31,477,162,156.5321285,12.36776024,6
578,477,147,146.1303754,11.7712854,7
256,478,154,140.150771,12.70206,-4
620,479,165,163.6454821,13.72806381,32
316,480,156,138.1152882,13.69386767,23
814,480,166,147.1752632,12.20904568,16
255,481,167,165.6633958,11.98050231,0
257,482,149,147.5862228,12.0639828,-1
263,482,160,141.4714202,12.22440919,7
316,482,126,138.1152882,13.69386767,23
454,482,164,144.9427046,11.92273943,3
295,483,123,132.4790005,10.0733566,11
265,484,150,149.8431973,14.19612598,4
568,484,158,136.1166961,11.33732169,11
273,485,166,142.8680053,11.78018117,10
276,485,137,144.846901,12.84752081,9
437,485,148,122.7234957,10.68763958,11
795,485,173,146.2261249,11.43082635,16
466,486,160,151.4891097,13.72228109,5
306,489,162,154.1877627,15.75150935,18
350,490,139,134.3880699,12.08442408,25
625,491,140,141.0831522,11.27346261,29
142,493,169,163.4546314,16.73681813,21
